form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
མཚོན་	མཚོན་	NOUN
གྱི་	གི་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
བདེན་ཚིག་	བདེན་ཚིག་	OTHER
ཨོཾ་	ཨོཾ་	X
མ་ཎི་	མ་ཎི་	OTHER
པདྨེ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
བྱམས་ཆེན་	བྱམས་ཆེན་	PROPN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འཕགས་མཆོག་	འཕགས་མཆོག་	OTHER
སྤྱན་རས་	སྤྱན་རས་	NO_POS
གཟིགས་	གཟིགས་	VERB
།		PUNCT
		
།		PUNCT
ཁྲོ་རྒྱལ་	ཁྲོ་རྒྱལ་	NO_POS
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
སོགས་	སོགས་	DET
།		PUNCT
		
།		PUNCT
མཚན་	མཚན་	NOUN
ཙམ་	ཙམ་	DET
ཐོས་པ་	ཐོས་པ་	VERB
ས་	གིས་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
ཀུན་	ཀུན་	DET
སེལ་བ་	སེལ་བ་	VERB
འི་	གི་	PART
།		PUNCT
		
།		PUNCT
སྐྱབས་གནས་	སྐྱབས་གནས་	NOUN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
དགོངས་	དགོངས་	VERB
སུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
།		PUNCT
		
།		PUNCT
རྩོད་	རྩོད་	VERB
ལྡན་	ལྡན་	VERB
སྙིགས་མ་	སྙིགས་མ་	NOUN
ལྔ་	ལྔ་	NUM
བདོའི་		NON_WORD
སེམས་ཅན་	སེམས་ཅན་	NOUN
རྣམས་	རྣམས་	DET
།		PUNCT
		
།		PUNCT
ལས་ངན་	ལས་ངན་	NOUN
ཕྲག་དོག་	ཕྲག་དོག་	NOUN
མཚོ་ཆེན་	མཚོ་ཆེན་	OTHER
བརྡོལ་བ་	བརྡོལ་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
འཐབ་རྩོད་	འཐབ་རྩོད་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
དྲག་པོ་	དྲག་པོ་	ADJ
ས་	གིས་	PART
མནར་བ་	མནར་བ་	VERB
ན་	ལ་	PART
།		PUNCT
		
།		PUNCT
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
ཞུགས་	ཞུགས་	VERB
ཀྱིས་	གིས་	PART
སྐེམས་པ་	སྐེམས་པ་	NO_POS
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
།		PUNCT
		
།		PUNCT
ཞེ་སྡང་	ཞེ་སྡང་	NOUN
མེ་དཔུང་	མེ་དཔུང་	OTHER
འབར་བ་	འབར་བ་	VERB
འི་	གི་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
བྱམས་པ་	བྱམས་པ་	PROPN
འི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
ཆེན་	ཆེན་	NO_POS
ཕབས་	ཕབས་	NOUN
ན་	ནས་	PART
ཀྱང་	ཀྱང་	PART
།		PUNCT
		
།		PUNCT
ཕན་ཚུན་	ཕན་ཚུན་	ADV
ཕ་མ་	ཕ་མ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
འི་	གི་	PART
འདུ་ཤེས་	འདུ་ཤེས་	NOUN
ཀྱིས་	གིས་	PART
།		PUNCT
		
།		PUNCT
བདེ་སྐྱིད་	བདེ་སྐྱིད་	NOUN
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
འཕེལ་བ་	འཕེལ་བ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
།		PUNCT
		
།		PUNCT
གང་	གང་	NO_POS
གི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	PART
ཞུགས་པ་	ཞུགས་པ་	VERB
འི་	གི་	PART
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
གིས་	གིས་	PART
།		PUNCT
		
།		PUNCT
བློ་སྣ་	བློ་སྣ་	NOUN
ལྷ་མིན་	ལྷ་མིན་	NOUN
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
བསྒྱུར་	བསྒྱུར་	VERB
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
།		PUNCT
		
།		PUNCT
འབྱུང་པོ་	འབྱུང་པོ་	NOUN
གདུག་པ་	གདུག་པ་	ADJ
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
རྣམས་	རྣམས་	DET
ཚ་	ཚ་	VERB
བཅད་	བཅད་	VERB
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
ཕྱིན་ཆད་	ཕྱིན་ཆད་	ADV
ཕྱོགས་	ཕྱོགས་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
རྒྱུ་བ་	རྒྱུ་བ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
		
།		PUNCT
གཡུལ་ངོ་	གཡུལ་ངོ་	NOUN
ར་	ལ་	PART
ཤི་བ་	ཤི་བ་	VERB
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱང་	ཀྱང་	PART
།		PUNCT
		
།		PUNCT
དེང་ནས་	དེང་ནས་	NO_POS
ལས་ངན་	ལས་ངན་	NOUN
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
ཀུན་སྤངས་	ཀུན་སྤངས་	NO_POS
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
བདེ་བ་	བདེ་བ་	VERB
ཅན་	ཅན་	PART
དུ་	ལ་	PART
རྫུས་	རྫུས་	VERB
ཏེ་	སྟེ་	PART
སྐྱེ་	སྐྱེ་	VERB
ན་	ནས་	PART
ཀྱང་	ཀྱང་	PART
།		PUNCT
		
།		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཞིང་	ཅིང་	PART
དེ་	དེ་	DET
ར་	ལ་	PART
འཁྲིད་པ་	འཁྲིད་པ་	VERB
ར་	ལ་	PART
མཛད་	མཛད་	VERB
དུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
།		PUNCT
		
།		PUNCT
སྐྱེ་རྒུ་	སྐྱེ་རྒུ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཚེ་རིང་	ཚེ་རིང་	NOUN
ནད་མེད་	ནད་མེད་	ADJ
ཅིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
